Category,SubCategory,Task
SWKS,Information Technology,Long-Short Portfolio recommendations
TEAM,Information Technology,Long-Short Portfolio recommendations
TXN,Information Technology,Long-Short Portfolio recommendations
VRSK,Industrials,Long-Short Portfolio recommendations
VRTX,Health Care,Long-Short Portfolio recommendations
WBA,Consumer Staples,Long-Short Portfolio recommendations
WDAY,Information Technology,Long-Short Portfolio recommendations
XEL,Utilities,Long-Short Portfolio recommendations
ZM,Information Technology,Long-Short Portfolio recommendations
ZS,Information Technology,Long-Short Portfolio recommendations
