
2023 National Employment Matrix title,2023 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
Computer user support specialists[1],15-1232,1.2,10.1,23.5,15.4,37.7,10.8,1.2
Computer network architects,15-1241,0.7,7.5,20.3,15.2,40.4,14.7,1.2
Database administrators[1],15-1242,0.9,6.2,10.8,6.8,47.9,24.9,2.7
Database architects[1],15-1243,0.9,6.2,10.8,6.8,47.9,24.9,2.7
Network and computer systems administrators,15-1244,1.0,7.9,21.6,16.0,40.5,12.2,0.8
Computer programmers,15-1251,0.8,5.2,13.1,8.1,50.0,19.8,3.0
Software developers,15-1252,0.5,2.0,7.1,4.0,52.2,30.3,3.9
Software quality assurance analysts and testers,15-1253,0.8,4.6,12.0,8.1,49.7,22.0,2.9
Web developers,15-1254,0.8,4.1,16.2,8.3,54.2,15.0,1.3
Web and digital interface designers,15-1255,0.6,4.6,12.4,8.5,54.9,17.1,2.0
"Computer occupations, all other",15-1299,1.2,9.2,20.2,13.7,39.6,14.7,1.5
Actuaries,15-2011,0.0,0.0,1.4,0.3,64.8,23.2,10.3
Mathematicians[1],15-2021,0.4,2.7,6.1,3.6,39.9,35.8,11.6
Operations research analysts,15-2031,0.5,5.7,12.7,6.7,41.6,28.6,4.2
Statisticians[1],15-2041,0.4,2.7,6.1,3.6,39.9,35.8,11.6
Data scientists[1],15-2051,0.4,2.7,6.1,3.6,39.9,35.8,11.6
"Mathematical science occupations, all other[1]",15-2099,0.4,2.7,6.1,3.6,39.9,35.8,11.6
"Architects, except landscape and naval",17-1011,0.5,1.3,4.0,2.8,46.1,37.5,7.9
Landscape architects,17-1012,1.5,4.8,7.3,3.5,55.0,24.6,3.4
Cartographers and photogrammetrists[1],17-1021,1.0,4.6,6.9,7.3,64.3,12.7,3.2
Surveyors[1],17-1022,1.0,4.6,6.9,7.3,64.3,12.7,3.2
Aerospace engineers,17-2011,0.5,2.0,3.5,4.1,51.0,32.4,6.6
Agricultural engineers[1],17-2021,0.4,3.6,6.3,11.3,44.8,26.5,7.2
Bioengineers and biomedical engineers[1],17-2031,0.4,3.6,6.3,11.3,44.8,26.5,7.2
Chemical engineers,17-2041,1.0,4.5,3.3,4.7,55.2,24.3,7.2
Civil engineers,17-2051,0.6,2.4,4.3,3.6,58.4,25.9,4.8
Computer hardware engineers,17-2061,0.9,3.1,10.9,7.4,44.9,27.8,5.1
Electrical engineers[1],17-2071,0.6,2.9,6.5,7.0,51.0,25.2,6.6
"Electronics engineers, except computer[1]",17-2072,0.6,2.9,6.5,7.0,51.0,25.2,6.6
Environmental engineers,17-2081,0.1,3.8,2.8,1.5,48.4,37.5,5.9
"Health and safety engineers, except mining safety engineers and inspectors[1]",17-2111,0.9,6.8,9.9,7.4,52.0,20.7,2.3
Industrial engineers[1],17-2112,0.9,6.8,9.9,7.4,52.0,20.7,2.3
Marine engineers and naval architects,17-2121,0.9,6.6,8.3,7.6,55.0,18.9,2.8
Materials engineers,17-2131,0.4,2.8,9.8,6.4,55.2,16.5,8.9
Mechanical engineers,17-2141,0.7,3.9,6.1,7.4,57.2,21.1,3.5
"Mining and geological engineers, including mining safety engineers[1]",17-2151,2.3,6.2,3.7,3.6,55.3,24.1,4.7
Nuclear engineers[1],17-2161,0.6,3.5,6.8,5.9,48.6,26.9,7.7
Petroleum engineers[1],17-2171,2.3,6.2,3.7,3.6,55.3,24.1,4.7
"Engineers, all other[1]",17-2199,0.6,3.5,6.8,5.9,48.6,26.9,7.7
Architectural and civil drafters,17-3011,0.9,11.0,27.1,33.8,21.2,5.2,0.8
Electrical and electronics drafters[1],17-3012,1.7,12.2,24.1,36.4,21.3,3.7,0.6
Mechanical drafters[1],17-3013,1.7,12.2,24.1,36.4,21.3,3.7,0.6
"Drafters, all other[1]",17-3019,1.7,12.2,24.1,36.4,21.3,3.7,0.6
Aerospace engineering and operations technologists and technicians[1],17-3021,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Civil engineering technologists and technicians[1],17-3022,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Electrical and electronic engineering technologists and technicians,17-3023,2.4,19.8,28.8,28.1,17.8,3.1,0.1
Electro-mechanical and mechatronics technologists and technicians[1],17-3024,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Environmental engineering technologists and technicians[1],17-3025,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Industrial engineering technologists and technicians[1],17-3026,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Mechanical engineering technologists and technicians[1],17-3027,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Calibration technologists and technicians[1],17-3028,3.5,23.3,28.7,19.8,19.5,4.3,1.0
"Engineering technologists and technicians, except drafters, all other[1]",17-3029,3.5,23.3,28.7,19.8,19.5,4.3,1.0
Surveying and mapping technicians,17-3031,5.2,28.8,33.9,21.3,8.6,2.0,0.2
Animal scientists[1],19-1011,0.0,0.0,0.0,0.0,55.0,28.7,16.4
Food scientists and technologists[1],19-1012,0.0,0.0,0.0,0.0,55.0,28.7,16.4
Soil and plant scientists[1],19-1013,0.0,0.0,0.0,0.0,55.0,28.7,16.4
Biochemists and biophysicists[1],19-1021,0.0,0.0,0.0,0.0,47.9,31.0,21.1
Microbiologists[1],19-1022,0.0,0.0,0.0,0.0,47.9,31.0,21.1
Zoologists and wildlife biologists[1],19-1023,0.0,0.0,0.0,0.0,47.9,31.0,21.1
"Biological scientists, all other[1]",19-1029,0.0,0.0,0.0,0.0,47.9,31.0,21.1
Conservation scientists[1],19-1031,0.0,0.0,0.0,0.0,74.3,22.1,3.6
Foresters[1],19-1032,0.0,0.0,0.0,0.0,74.3,22.1,3.6
Epidemiologists[1],19-1041,0.2,0.6,0.7,0.8,26.1,25.9,45.7
"Medical scientists, except epidemiologists[1]",19-1042,0.2,0.6,0.7,0.8,26.1,25.9,45.7
"Life scientists, all other[1]",19-1099,0.2,0.6,0.7,0.8,26.1,25.9,45.7
Astronomers[1],19-2011,0.0,0.0,0.0,0.0,20.5,27.3,52.2
Physicists[1],19-2012,0.0,0.0,0.0,0.0,20.5,27.3,52.2
Atmospheric and space scientists,19-2021,0.0,0.6,3.1,4.8,49.0,27.4,15.2
Chemists[1],19-2031,1.0,2.4,2.7,1.8,50.4,20.7,21.0
Materials scientists[1],19-2032,1.0,2.4,2.7,1.8,50.4,20.7,21.0
"Environmental scientists and specialists, including health",19-2041,0.0,0.0,0.0,0.0,61.7,30.0,8.3
"Geoscientists, except hydrologists and geographers[1]",19-2042,0.0,0.0,0.0,0.0,45.0,41.9,13.1
Hydrologists[1],19-2043,0.0,0.0,0.0,0.0,45.0,41.9,13.1
"Physical scientists, all other",19-2099,0.0,0.0,0.0,0.0,27.9,22.7,49.4
Economists,19-3011,0.0,0.0,0.0,0.0,19.4,45.8,34.9
Survey researchers[1],19-3022,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Industrial-organizational psychologists[1],19-3032,0.0,0.0,0.0,0.0,9.5,38.5,51.9
Clinical and counseling psychologists,19-3033,0.0,0.0,0.0,0.0,10.1,10.7,79.2
School psychologists,19-3034,0.0,0.0,0.0,0.0,9.3,53.3,37.4
"Psychologists, all other[1]",19-3039,0.0,0.0,0.0,0.0,9.5,38.5,51.9
Sociologists[1],19-3041,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Urban and regional planners,19-3051,0.0,0.0,0.0,0.0,45.3,50.7,4.1
Anthropologists and archeologists[1],19-3091,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Geographers[1],19-3092,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Historians[1],19-3093,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Political scientists[1],19-3094,0.2,2.2,4.5,1.9,34.8,39.0,17.4
"Social scientists and related workers, all other[1]",19-3099,0.2,2.2,4.5,1.9,34.8,39.0,17.4
Agricultural technicians[1],19-4012,7.3,25.4,23.8,17.3,20.7,5.2,0.3
Food science technicians[1],19-4013,7.3,25.4,23.8,17.3,20.7,5.2,0.3
Biological technicians,19-4021,4.8,18.9,15.7,12.0,36.6,7.8,4.2
Chemical technicians,19-4031,6.1,22.0,22.5,13.8,28.3,5.5,1.7
"Environmental science and protection technicians, including health[1]",19-4042,3.2,16.5,23.7,11.0,36.0,7.5,2.2
"Geological technicians, except hydrologic technicians[1]",19-4043,3.2,16.5,23.7,11.0,36.0,7.5,2.2
Hydrologic technicians[1],19-4044,3.2,16.5,23.7,11.0,36.0,7.5,2.2
Nuclear technicians[1],19-4051,3.2,16.5,23.7,11.0,36.0,7.5,2.2
Social science research assistants[1],19-4061,3.9,14.3,19.1,13.4,34.5,11.6,3.2
Forest and conservation technicians[1],19-4071,3.9,14.3,19.1,13.4,34.5,11.6,3.2
Forensic science technicians[1],19-4092,3.9,14.3,19.1,13.4,34.5,11.6,3.2
"Life, physical, and social science technicians, all other[1]",19-4099,3.9,14.3,19.1,13.4,34.5,11.6,3.2
Occupational health and safety specialists[1],19-5011,3.1,16.4,19.2,10.4,34.1,15.1,1.7
Occupational health and safety technicians[1],19-5012,3.1,16.4,19.2,10.4,34.1,15.1,1.7
"Educational, guidance, and career counselors and advisors",21-1012,1.0,3.8,4.4,2.7,21.7,61.4,5.0
Marriage and family therapists,21-1013,1.6,3.0,3.8,1.0,14.2,67.9,8.5
Rehabilitation counselors,21-1015,1.3,12.1,9.4,9.3,25.2,36.0,6.6
"Substance abuse, behavioral disorder, and mental health counselors[1]",21-1018,1.3,3.7,6.0,4.2,24.7,55.4,4.7
"Counselors, all other",21-1019,1.1,8.1,10.4,5.8,26.8,42.4,5.4
"Child, family, and school social workers",21-1021,1.5,6.2,9.0,7.6,37.9,35.5,2.4
Healthcare social workers,21-1022,2.1,15.1,12.6,6.5,26.2,35.4,2.0
Mental health and substance abuse social workers,21-1023,2.5,3.5,3.8,2.9,16.3,66.5,4.6
"Social workers, all other",21-1029,1.1,3.8,5.6,4.2,38.7,44.4,2.2
Health education specialists[1],21-1091,2.2,9.7,17.5,8.4,34.9,23.6,3.7
Probation officers and correctional treatment specialists,21-1092,0.4,3.8,6.1,4.5,62.7,20.9,1.5
Social and human service assistants,21-1093,2.7,13.7,21.2,10.9,35.0,14.6,2.0
Community health workers[1],21-1094,2.2,9.7,17.5,8.4,34.9,23.6,3.7
"Community and social service specialists, all other[1]",21-1099,2.2,9.7,17.5,8.4,34.9,23.6,3.7
Clergy,21-2011,2.2,6.8,10.4,3.9,26.9,35.9,14.0
"Directors, religious activities and education",21-2021,1.7,9.1,14.5,7.4,38.9,23.6,4.8
"Religious workers, all other",21-2099,3.0,10.2,18.6,8.2,36.3,18.5,5.2
Lawyers[1],23-1011,0.4,0.7,0.7,0.4,6.3,4.4,87.2
Judicial law clerks,23-1012,0.7,9.0,14.3,7.7,18.1,5.6,44.5
"Administrative law judges, adjudicators, and hearing officers[1]",23-1021,0.4,0.7,0.7,0.4,6.3,4.4,87.2
"Arbitrators, mediators, and conciliators[1]",23-1022,0.4,0.7,0.7,0.4,6.3,4.4,87.2
"Judges, magistrate judges, and magistrates[1]",23-1023,0.4,0.7,0.7,0.4,6.3,4.4,87.2
Paralegals and legal assistants,23-2011,1.1,11.6,21.4,18.9,37.0,6.7,3.4
"Title examiners, abstractors, and searchers",23-2093,2.7,23.7,24.6,12.1,27.6,5.8,3.5
"Legal support workers, all other",23-2099,2.4,9.6,21.0,7.1,39.3,15.0,5.5
"Business teachers, postsecondary[1]",25-1011,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Computer science teachers, postsecondary[1]",25-1021,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Mathematical science teachers, postsecondary[1]",25-1022,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Architecture teachers, postsecondary[1]",25-1031,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Engineering teachers, postsecondary[1]",25-1032,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Agricultural sciences teachers, postsecondary[1]",25-1041,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Biological science teachers, postsecondary[1]",25-1042,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Forestry and conservation science teachers, postsecondary[1]",25-1043,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Atmospheric, earth, marine, and space sciences teachers, postsecondary[1]",25-1051,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Chemistry teachers, postsecondary[1]",25-1052,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Environmental science teachers, postsecondary[1]",25-1053,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Physics teachers, postsecondary[1]",25-1054,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Anthropology and archeology teachers, postsecondary[1]",25-1061,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Area, ethnic, and cultural studies teachers, postsecondary[1]",25-1062,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Economics teachers, postsecondary[1]",25-1063,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Geography teachers, postsecondary[1]",25-1064,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Political science teachers, postsecondary[1]",25-1065,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Psychology teachers, postsecondary[1]",25-1066,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Sociology teachers, postsecondary[1]",25-1067,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Social sciences teachers, postsecondary, all other[1]",25-1069,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Health specialties teachers, postsecondary[1]",25-1071,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Nursing instructors and teachers, postsecondary[1]",25-1072,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Education teachers, postsecondary[1]",25-1081,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Library science teachers, postsecondary[1]",25-1082,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Criminal justice and law enforcement teachers, postsecondary[1]",25-1111,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Law teachers, postsecondary[1]",25-1112,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Social work teachers, postsecondary[1]",25-1113,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Art, drama, and music teachers, postsecondary[1]",25-1121,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Communications teachers, postsecondary[1]",25-1122,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"English language and literature teachers, postsecondary[1]",25-1123,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Foreign language and literature teachers, postsecondary[1]",25-1124,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"History teachers, postsecondary[1]",25-1125,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Philosophy and religion teachers, postsecondary[1]",25-1126,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Family and consumer sciences teachers, postsecondary[1]",25-1192,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Recreation and fitness studies teachers, postsecondary[1]",25-1193,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Career/technical education teachers, postsecondary[1]",25-1194,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Postsecondary teachers, all other[1]",25-1199,0.6,1.7,1.9,1.6,15.9,30.7,47.6
"Preschool teachers, except special education[1]",25-2011,1.7,12.8,18.1,11.6,36.3,18.0,1.6
"Kindergarten teachers, except special education[1]",25-2012,1.7,12.8,18.1,11.6,36.3,18.0,1.6
"Elementary school teachers, except special education[1]",25-2021,0.0,0.0,2.6,2.1,44.0,47.0,4.4
"Middle school teachers, except special and career/technical education[1]",25-2022,0.0,0.0,2.6,2.1,44.0,47.0,4.4
"Career/technical education teachers, middle school[1]",25-2023,0.0,0.0,2.6,2.1,44.0,47.0,4.4
"Secondary school teachers, except special and career/technical education[1]",25-2031,0.0,0.0,1.9,1.6,38.8,52.1,5.7
"Career/technical education teachers, secondary school[1]",25-2032,0.0,0.0,1.9,1.6,38.8,52.1,5.7
"Special education teachers, preschool[1]",25-2051,0.8,3.2,3.9,2.5,34.7,51.0,3.9
"Special education teachers, kindergarten and elementary school[1]",25-2052,0.8,3.2,3.9,2.5,34.7,51.0,3.9
"Special education teachers, middle school[1]",25-2057,0.8,3.2,3.9,2.5,34.7,51.0,3.9
"Special education teachers, secondary school[1]",25-2058,0.8,3.2,3.9,2.5,34.7,51.0,3.9
"Special education teachers, all other[1]",25-2059,0.8,3.2,3.9,2.5,34.7,51.0,3.9
"Adult basic education, adult secondary education, and english as a second language instructors[1]",25-3011,1.9,10.8,16.4,8.6,35.7,21.7,4.9
Self-enrichment teachers[1],25-3021,1.9,10.8,16.4,8.6,35.7,21.7,4.9
"Substitute teachers, short-term[1]",25-3031,1.9,10.8,16.4,8.6,35.7,21.7,4.9
Tutors,25-3041,0.9,5.1,10.2,6.7,42.5,29.3,5.3
"Teachers and instructors, all other[1]",25-3099,1.9,10.8,16.4,8.6,35.7,21.7,4.9
Archivists[1],25-4011,0.8,5.8,8.7,4.9,36.6,36.0,7.1
Curators[1],25-4012,0.8,5.8,8.7,4.9,36.6,36.0,7.1
Museum technicians and conservators[1],25-4013,0.8,5.8,8.7,4.9,36.6,36.0,7.1
Librarians and media collections specialists,25-4022,0.7,2.3,6.3,4.9,25.2,55.6,5.0
Library technicians,25-4031,3.4,31.1,17.0,9.6,25.9,11.9,1.0
Farm and home management educators[1],25-9021,1.5,4.4,8.7,4.0,29.4,43.2,8.8
Instructional coordinators[1],25-9031,1.5,4.4,8.7,4.0,29.4,43.2,8.8
"Teaching assistants, postsecondary[1]",25-9044,5.0,26.2,21.7,13.9,23.6,8.0,1.6
"Teaching assistants, except postsecondary[1]",25-9045,5.0,26.2,21.7,13.9,23.6,8.0,1.6
"Educational instruction and library workers, all other[1]",25-9099,1.5,4.4,8.7,4.0,29.4,43.2,8.8
Art directors[1],27-1011,3.2,14.1,19.0,8.0,41.7,12.2,1.8
Craft artists[1],27-1012,3.2,14.1,19.0,8.0,41.7,12.2,1.8
"Fine artists, including painters, sculptors, and illustrators[1]",27-1013,3.2,14.1,19.0,8.0,41.7,12.2,1.8
Special effects artists and animators[1],27-1014,3.2,14.1,19.0,8.0,41.7,12.2,1.8
"Artists and related workers, all other[1]",27-1019,3.2,14.1,19.0,8.0,41.7,12.2,1.8
Commercial and industrial designers,27-1021,2.6,4.5,18.7,8.8,52.4,12.8,0.3
Fashion designers,27-1022,3.0,10.9,11.1,11.7,52.8,9.2,1.3
Floral designers,27-1023,7.3,34.9,23.8,10.6,19.6,3.2,0.6
Graphic designers,27-1024,1.1,5.3,12.7,11.6,59.5,8.6,1.3
Interior designers,27-1025,1.0,6.5,10.6,10.1,61.7,8.4,1.6
Merchandise displayers and window trimmers,27-1026,3.2,24.2,24.6,11.0,32.0,5.0,0.0
Set and exhibit designers[1],27-1027,1.7,8.1,15.7,12.9,45.1,14.2,2.3
"Designers, all other[1]",27-1029,1.7,8.1,15.7,12.9,45.1,14.2,2.3
Actors,27-2011,1.9,10.0,13.1,6.8,53.6,12.6,2.1
Producers and directors,27-2012,1.0,5.6,11.9,4.7,58.6,15.2,3.0
Athletes and sports competitors,27-2021,3.3,10.0,19.7,7.1,48.2,9.8,1.8
Coaches and scouts,27-2022,1.8,9.3,13.4,5.7,42.1,24.6,3.1
"Umpires, referees, and other sports officials",27-2023,1.8,12.0,24.4,8.9,33.2,16.4,3.4
Dancers[1],27-2031,4.0,27.1,24.0,5.8,32.9,4.7,1.4
Choreographers[1],27-2032,4.0,27.1,24.0,5.8,32.9,4.7,1.4
Music directors and composers,27-2041,1.9,10.2,16.8,5.4,38.5,21.8,5.4
Musicians and singers,27-2042,3.2,12.6,20.3,5.6,32.6,21.2,4.4
"Disc jockeys, except radio",27-2091,9.9,22.1,26.8,11.0,23.2,6.8,0.2
"Entertainers and performers, sports and related workers, all other",27-2099,5.5,18.6,26.8,5.8,34.4,6.8,2.0
Broadcast announcers and radio disc jockeys,27-3011,0.8,10.6,19.7,6.2,51.8,10.1,0.9
"News analysts, reporters, and journalists",27-3023,1.1,2.2,6.0,2.0,63.4,21.7,3.6
Public relations specialists,27-3031,0.4,4.6,6.8,3.4,56.1,24.2,4.5
Editors,27-3041,0.3,3.0,7.9,3.5,56.7,21.9,6.7
Technical writers,27-3042,0.9,2.8,10.0,5.6,50.2,22.4,8.1
Writers and authors,27-3043,1.0,4.0,8.1,3.1,50.3,27.0,6.6
Interpreters and translators,27-3091,2.7,9.8,17.4,13.7,35.1,15.7,5.6
Court reporters and simultaneous captioners,27-3092,1.0,13.5,30.5,33.2,17.1,3.7,1.1
"Media and communication workers, all other",27-3099,1.1,12.7,16.1,4.0,43.5,19.0,3.6
Audio and video technicians[1],27-4011,2.8,14.1,27.9,13.1,36.0,5.3,0.7
Broadcast technicians[1],27-4012,2.8,14.1,27.9,13.1,36.0,5.3,0.7
Sound engineering technicians[1],27-4014,2.8,14.1,27.9,13.1,36.0,5.3,0.7
